,id,name,role,nationality
0,11576,Darren Cann,ASSISTANT_REFEREE_N1,England
1,11595,Adrian Holmes,ASSISTANT_REFEREE_N2,England
2,11327,John Brooks,FOURTH_OFFICIAL,England
3,11423,Andy Madley,REFEREE,England
4,11443,Chris Kavanagh,VIDEO_ASSISTANT_REFEREE_N1,England
5,98555,Sian Massey-Ellis,VIDEO_ASSISTANT_REFEREE_N2,England
