,id,name,role,nationality
0,11487,Kevin Friend,REFEREE,England
1,11595,Adrian Holmes,ASSISTANT_REFEREE_N1,England
2,11544,Simon Beck,ASSISTANT_REFEREE_N2,England
3,11423,Andy Madley,FOURTH_OFFICIAL,England
4,11327,John Brooks,VIDEO_ASSISTANT_REFEREE_N1,England
5,11521,Mark Scholes,VIDEO_ASSISTANT_REFEREE_N2,England
