,id,name,role,nationality
0,43869,Antonio Matéu Lahoz,REFEREE,Spain
1,134,Pau Cebrián Devis,REFEREE,Spain
2,56943,Ignacio Rubio,REFEREE,
3,56944,Alberto González,REFEREE,Spain
